race_id,season,round,race_name,date,time,circuit_id
1950_1,1950,1,British Grand Prix,1950-05-13,,silverstone
1950_2,1950,2,Monaco Grand Prix,1950-05-21,,monaco
1950_3,1950,3,Indianapolis 500,1950-05-30,,indianapolis
1950_4,1950,4,Swiss Grand Prix,1950-06-04,,bremgarten
1950_5,1950,5,Belgian Grand Prix,1950-06-18,,spa
1950_6,1950,6,French Grand Prix,1950-07-02,,reims
1950_7,1950,7,Italian Grand Prix,1950-09-03,,monza
1951_1,1951,1,Swiss Grand Prix,1951-05-27,,bremgarten
1951_2,1951,2,Indianapolis 500,1951-05-30,,indianapolis
1951_3,1951,3,Belgian Grand Prix,1951-06-17,,spa
1951_4,1951,4,French Grand Prix,1951-07-01,,reims
1951_5,1951,5,British Grand Prix,1951-07-14,,silverstone
1951_6,1951,6,German Grand Prix,1951-07-29,,nurburgring
1951_7,1951,7,Italian Grand Prix,1951-09-16,,monza
1951_8,1951,8,Spanish Grand Prix,1951-10-28,,pedralbes
1952_1,1952,1,Swiss Grand Prix,1952-05-18,,bremgarten
1952_2,1952,2,Indianapolis 500,1952-05-30,,indianapolis
1952_3,1952,3,Belgian Grand Prix,1952-06-22,,spa
1952_4,1952,4,French Grand Prix,1952-07-06,,essarts
1952_5,1952,5,British Grand Prix,1952-07-19,,silverstone
1952_6,1952,6,German Grand Prix,1952-08-03,,nurburgring
1952_7,1952,7,Dutch Grand Prix,1952-08-17,,zandvoort
1952_8,1952,8,Italian Grand Prix,1952-09-07,,monza
1953_1,1953,1,Argentine Grand Prix,1953-01-18,,galvez
1953_2,1953,2,Indianapolis 500,1953-05-30,,indianapolis
1953_3,1953,3,Dutch Grand Prix,1953-06-07,,zandvoort
1953_4,1953,4,Belgian Grand Prix,1953-06-21,,spa
1953_5,1953,5,French Grand Prix,1953-07-05,,reims
1953_6,1953,6,British Grand Prix,1953-07-18,,silverstone
1953_7,1953,7,German Grand Prix,1953-08-02,,nurburgring
1953_8,1953,8,Swiss Grand Prix,1953-08-23,,bremgarten
